"id";"type";"attachment_type_id"
"ee3d85ef-b22c-4b0a-888a-a0f789e35087";"Code Review";"c719b43e-8c6b-47bc-84d0-30524afa6fae"
"98c16453-73f3-4384-b13d-e3d943d2e1cc";"Task";"47c3b9ab-9e53-4361-850c-87e3febd9f1c"
"11ed32dd-1799-499f-a1a4-3c17a50b9873";"Spike";"8e5726f6-2531-4cd2-b077-a8ee82572d42"
"58435745-b6de-4d79-b484-0c7aece5532b";"Issue";"62e5fc1a-51cc-4936-874a-38df5102a1ba"
"6c61edc6-7d91-4aa6-b2eb-5b98ff0b157e";"Event";"dca41fc2-9add-412a-b34a-1f840a336f54"
